,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
10789,2022-09-09 09:38:00+00:00,2022-09-09 10:00:00+00:00,"[4.40633, 51.89912]",WAAL,6143,356555000,POINT (4.40633 51.89912)
10792,2022-09-09 10:53:54+00:00,2022-09-09 11:00:00+00:00,"[4.34873, 51.89777]",NMBOT,6145,257162000,POINT (4.34873 51.89777)
10793,2022-09-09 10:48:46+00:00,2022-09-09 11:00:00+00:00,"[4.33711, 51.8947]",NMBOT,6145,257162000,POINT (4.33711 51.8947)
10795,2022-09-09 10:53:53+00:00,2022-09-09 11:00:00+00:00,"[4.19576, 51.93036]",CKBRUG,6147,249502000,POINT (4.19576 51.93036)
10796,2022-09-09 11:13:59+00:00,2022-09-09 11:00:00+00:00,"[4.17185, 51.94289]",BRITH,6148,372295000,POINT (4.17185 51.94289)
10797,2022-09-09 11:18:58+00:00,2022-09-09 11:00:00+00:00,"[4.18346, 51.93698]",BRITH,6148,372295000,POINT (4.18346 51.93698)
10799,2022-09-09 11:23:59+00:00,2022-09-09 11:00:00+00:00,"[4.07305, 51.9806]",EURO,6150,538009886,POINT (4.07305 51.9806)
10800,2022-09-09 11:24:03+00:00,2022-09-09 11:00:00+00:00,"[4.07305, 51.9806]",EURO,6150,538009886,POINT (4.07305 51.9806)
10807,2022-09-09 13:14:58+00:00,2022-09-09 13:00:00+00:00,"[4.15912, 51.94997]",CKVTTI,6154,247422700,POINT (4.15912 51.94997)
10808,2022-09-09 13:15:00+00:00,2022-09-09 13:00:00+00:00,"[4.41979, 51.90099]",WAAL,6155,255805770,POINT (4.41979 51.90099)
10809,2022-09-09 13:09:59+00:00,2022-09-09 13:00:00+00:00,"[4.27851, 51.90029]",BOTL,6156,219280000,POINT (4.27851 51.90029)
10810,2022-09-09 13:14:55+00:00,2022-09-09 13:00:00+00:00,"[4.29238, 51.897]",BOTL,6156,219280000,POINT (4.29238 51.897)
10816,2022-09-09 13:55:51+00:00,2022-09-09 14:00:00+00:00,"[4.07466, 51.97971]",AMAZ,6160,255805987,POINT (4.07466 51.97971)
10818,2022-09-09 15:32:19+00:00,2022-09-09 16:00:00+00:00,"[4.15967, 51.949]",CKVTTI,6162,256929000,POINT (4.15967 51.949)
10823,2022-09-09 14:31:39+00:00,2022-09-09 15:00:00+00:00,"[4.01545, 51.97598]",AMALIA,6165,219019094,POINT (4.01545 51.97598)
10824,2022-09-09 14:31:42+00:00,2022-09-09 15:00:00+00:00,"[4.07407, 51.9811]",AMALIA,6165,219019094,POINT (4.07407 51.9811)
10825,2022-09-09 16:33:22+00:00,2022-09-09 17:00:00+00:00,"[4.36955, 51.89843]",PWAH,6166,212752000,POINT (4.36955 51.89843)
10828,2022-09-09 16:07:56+00:00,2022-09-09 16:00:00+00:00,"[4.0756, 51.98013]",PET8,6168,636019060,POINT (4.0756 51.98013)
10829,2022-09-09 15:57:50+00:00,2022-09-09 16:00:00+00:00,"[4.05006, 51.98741]",PET8,6168,636019060,POINT (4.05006 51.98741)
10830,2022-09-09 16:07:55+00:00,2022-09-09 16:00:00+00:00,"[4.0756, 51.98013]",PET8,6168,636019060,POINT (4.0756 51.98013)
10831,2022-09-09 16:58:34+00:00,2022-09-09 17:00:00+00:00,"[4.3349, 51.89388]",2PET,6169,636093107,POINT (4.3349 51.89388)
10832,2022-09-09 16:58:47+00:00,2022-09-09 17:00:00+00:00,"[4.3349, 51.89388]",2PET,6169,636093107,POINT (4.3349 51.89388)
10836,2022-09-09 18:14:35+00:00,2022-09-09 18:00:00+00:00,"[4.29389, 51.89644]",STLAU,6172,246737000,POINT (4.29389 51.89644)
10837,2022-09-09 18:09:29+00:00,2022-09-09 18:00:00+00:00,"[4.07181, 51.98051]",AMALIA,6173,212659000,POINT (4.07181 51.98051)
10838,2022-09-09 18:14:35+00:00,2022-09-09 18:00:00+00:00,"[4.08454, 51.97476]",AMALIA,6173,212659000,POINT (4.08454 51.97476)
10843,2022-09-09 18:49:49+00:00,2022-09-09 19:00:00+00:00,"[4.2936, 51.89628]",3PET,6176,247433300,POINT (4.2936 51.89628)
10847,2022-09-09 20:05:38+00:00,2022-09-09 20:00:00+00:00,"[4.05643, 51.96481]",EURO,6179,244238000,POINT (4.05643 51.96481)
10848,2022-09-09 19:25:07+00:00,2022-09-09 19:00:00+00:00,"[4.17122, 51.94309]",7PET,6180,636021944,POINT (4.17122 51.94309)
10849,2022-09-09 19:15:00+00:00,2022-09-09 19:00:00+00:00,"[4.14237, 51.95661]",7PET,6180,636021944,POINT (4.14237 51.95661)
10850,2022-09-09 20:56:17+00:00,2022-09-09 21:00:00+00:00,"[4.08379, 51.96369]",EURO,6181,355216000,POINT (4.08379 51.96369)
10851,2022-09-09 21:01:20+00:00,2022-09-09 21:00:00+00:00,"[4.07765, 51.97879]",EURO,6181,355216000,POINT (4.07765 51.97879)
10854,2022-09-09 20:51:14+00:00,2022-09-09 21:00:00+00:00,"[4.29176, 51.89661]",BOTL,6183,248127000,POINT (4.29176 51.89661)
10855,2022-09-09 20:56:00+00:00,2022-09-09 21:00:00+00:00,"[4.1087, 51.9696]",4PET,6184,373953000,POINT (4.1087 51.9696)
10856,2022-09-09 20:56:20+00:00,2022-09-09 21:00:00+00:00,"[4.1087, 51.9696]",4PET,6184,373953000,POINT (4.1087 51.9696)
10864,2022-09-09 22:52:56+00:00,2022-09-09 23:00:00+00:00,"[4.2882, 51.89774]",2WH,6188,538002561,POINT (4.2882 51.89774)
10865,2022-09-09 22:47:54+00:00,2022-09-09 23:00:00+00:00,"[4.27477, 51.90195]",2WH,6188,538002561,POINT (4.27477 51.90195)
10866,2022-09-09 23:48:48+00:00,2022-09-10 00:00:00+00:00,"[4.30903, 51.8864]",3PET,6189,248439000,POINT (4.30903 51.8864)
10867,2022-09-09 22:32:53+00:00,2022-09-09 23:00:00+00:00,"[4.07858, 51.97888]",MISS,6190,636021220,POINT (4.07858 51.97888)
