,to,to_rounded,to_location,from_haven,trip_ID,vessel_mmsi,geometry
13732,2022-10-04 17:34:16+00:00,2022-10-04 17:00:00+00:00,"[4.29445, 51.89711]",3PET,7867,548942000,POINT (4.29445 51.89711)
13735,2022-10-04 18:09:50+00:00,2022-10-04 16:00:00+00:00,"[4.39048, 51.89707]",WAAL,7869,630001013,POINT (4.39048 51.89707)
13736,2022-10-04 18:04:50+00:00,2022-10-04 17:00:00+00:00,"[4.4053, 51.89942]",WAAL,7869,630001013,POINT (4.4053 51.89942)
13738,2022-10-04 18:49:57+00:00,2022-10-04 18:00:00+00:00,"[4.29506, 51.89704]",3PET,7871,636019176,POINT (4.29506 51.89704)
13739,2022-10-04 18:49:59+00:00,2022-10-04 18:00:00+00:00,"[4.07058, 51.98308]",PET8,7872,636018671,POINT (4.07058 51.98308)
13740,2022-10-04 18:50:01+00:00,2022-10-04 18:00:00+00:00,"[4.07058, 51.98308]",PET8,7872,636018671,POINT (4.07058 51.98308)
13741,2022-10-04 19:09:59+00:00,2022-10-04 19:00:00+00:00,"[4.13362, 51.96122]",CK5PET,7873,241627000,POINT (4.13362 51.96122)
13742,2022-10-04 19:05:01+00:00,2022-10-04 18:00:00+00:00,"[4.14486, 51.956]",5PET,7873,241627000,POINT (4.14486 51.956)
13747,2022-10-04 19:25:01+00:00,2022-10-04 18:00:00+00:00,"[4.1688, 51.94508]",7PET,7876,215798000,POINT (4.1688 51.94508)
13748,2022-10-04 19:35:13+00:00,2022-10-04 19:00:00+00:00,"[4.14, 51.9582]",7PET,7876,215798000,POINT (4.14 51.9582)
13761,2022-10-04 22:07:56+00:00,2022-10-04 22:00:00+00:00,"[4.42575, 51.90306]",WAAL,7883,538007810,POINT (4.42575 51.90306)
13764,2022-10-04 22:38:22+00:00,2022-10-04 22:00:00+00:00,"[4.08799, 51.97257]",YANG,7885,255805855,POINT (4.08799 51.97257)
13765,2022-10-04 22:38:20+00:00,2022-10-04 22:00:00+00:00,"[4.08799, 51.97257]",EURO,7885,255805855,POINT (4.08799 51.97257)
13771,2022-10-04 23:44:14+00:00,2022-10-04 23:00:00+00:00,"[4.43871, 51.89614]",WAAL,7889,305410000,POINT (4.43871 51.89614)
13772,2022-10-05 00:19:23+00:00,2022-10-05 00:00:00+00:00,"[4.09871, 51.97398]",BENE,7890,419001672,POINT (4.09871 51.97398)
13773,2022-10-05 00:14:20+00:00,2022-10-05 00:00:00+00:00,"[4.11874, 51.96659]",BENE,7890,419001672,POINT (4.11874 51.96659)
13778,2022-10-05 00:39:34+00:00,2022-10-05 00:00:00+00:00,"[4.308, 51.892]",BOTL,7893,538009779,POINT (4.308 51.892)
13779,2022-10-05 00:44:32+00:00,2022-10-05 00:00:00+00:00,"[4.30017, 51.896]",BOTL,7893,538009779,POINT (4.30017 51.896)
13791,2022-10-05 02:55:57+00:00,2022-10-05 02:00:00+00:00,"[4.28339, 51.89213]",CHEM,7900,538008887,POINT (4.28339 51.89213)
13792,2022-10-05 02:50:54+00:00,2022-10-05 02:00:00+00:00,"[4.28343, 51.89212]",CHEM,7900,538008887,POINT (4.28343 51.89212)
13793,2022-10-05 03:58:28+00:00,2022-10-05 03:00:00+00:00,"[4.39245, 51.89572]",BEAT,7901,636020540,POINT (4.39245 51.89572)
13796,2022-10-05 04:27:11+00:00,2022-10-05 04:00:00+00:00,"[4.34452, 51.89708]",NMBOT,7903,370528000,POINT (4.34452 51.89708)
13797,2022-10-05 04:27:16+00:00,2022-10-05 04:00:00+00:00,"[4.34452, 51.89708]",NMBOT,7903,370528000,POINT (4.34452 51.89708)
13798,2022-10-05 04:47:58+00:00,2022-10-05 04:00:00+00:00,"[4.04942, 51.96721]",YANG,7904,314292000,POINT (4.04942 51.96721)
13799,2022-10-05 05:53:42+00:00,2022-10-05 04:00:00+00:00,"[4.08234, 51.97678]",AMALIA,7905,351404000,POINT (4.08234 51.97678)
13800,2022-10-05 05:53:39+00:00,2022-10-05 04:00:00+00:00,"[4.08234, 51.97678]",AMALIA,7905,351404000,POINT (4.08234 51.97678)
13803,2022-10-05 06:08:58+00:00,2022-10-05 05:00:00+00:00,"[4.08553, 51.96283]",AMAZ,7907,215640000,POINT (4.08553 51.96283)
13804,2022-10-05 06:09:00+00:00,2022-10-05 05:00:00+00:00,"[4.08553, 51.96283]",AMAZ,7907,215640000,POINT (4.08553 51.96283)
13810,2022-10-05 06:54:51+00:00,2022-10-05 06:00:00+00:00,"[4.08545, 51.96057]",AMAZ,7910,636092784,POINT (4.08545 51.96057)
13811,2022-10-05 06:54:54+00:00,2022-10-05 06:00:00+00:00,"[4.08545, 51.96057]",AMAZ,7910,636092784,POINT (4.08545 51.96057)
13821,2022-10-05 07:59:39+00:00,2022-10-05 07:00:00+00:00,"[4.11505, 51.96967]",CKVTTI,7917,403517001,POINT (4.11505 51.96967)
13822,2022-10-05 08:44:54+00:00,2022-10-05 07:00:00+00:00,"[4.38705, 51.89718]",BEAT,7918,538007909,POINT (4.38705 51.89718)
13823,2022-10-05 08:50:21+00:00,2022-10-05 07:00:00+00:00,"[4.3743, 51.89933]",BEAT,7918,538007909,POINT (4.3743 51.89933)
13824,2022-10-05 09:36:13+00:00,2022-10-05 09:00:00+00:00,"[4.08862, 51.96845]",6PET,7919,224490000,POINT (4.08862 51.96845)
13827,2022-10-05 09:46:19+00:00,2022-10-05 08:00:00+00:00,"[4.08838, 51.96635]",MISS,7921,373569000,POINT (4.08838 51.96635)
13828,2022-10-05 09:41:11+00:00,2022-10-05 08:00:00+00:00,"[4.08381, 51.95478]",MISS,7921,373569000,POINT (4.08381 51.95478)
13829,2022-10-05 10:06:24+00:00,2022-10-05 09:00:00+00:00,"[4.4274, 51.90237]",WAAL,7922,538004641,POINT (4.4274 51.90237)
13830,2022-10-05 10:06:26+00:00,2022-10-05 09:00:00+00:00,"[4.4274, 51.90237]",WAAL,7922,538004641,POINT (4.4274 51.90237)
13833,2022-10-05 10:37:07+00:00,2022-10-05 10:00:00+00:00,"[4.192, 51.93302]",7PET,7924,538009942,POINT (4.192 51.93302)
13834,2022-10-05 10:31:57+00:00,2022-10-05 10:00:00+00:00,"[4.20239, 51.9274]",7PET,7924,538009942,POINT (4.20239 51.9274)
13839,2022-10-05 11:43:20+00:00,2022-10-05 11:00:00+00:00,"[4.10673, 51.97211]",SCHEUR,7927,538009300,POINT (4.10673 51.97211)
13840,2022-10-05 11:48:19+00:00,2022-10-05 11:00:00+00:00,"[4.0944, 51.97599]",SCHEUR,7927,538009300,POINT (4.0944 51.97599)
13841,2022-10-05 12:08:40+00:00,2022-10-05 12:00:00+00:00,"[4.15381, 51.95278]",CKVTTI,7928,538006808,POINT (4.15381 51.95278)
13845,2022-10-05 12:33:57+00:00,2022-10-05 12:00:00+00:00,"[4.43914, 51.89515]",WAAL,7931,244820418,POINT (4.43914 51.89515)
