device_mmsi,Lenght,Width,Type
205414790,110,12,cargo
244660514,187,13,other
244710925,11,3,sailing
244690697,193,23,cargo
566879000,328,45,cargo
244270061,12,7,sailing
636015957,170,26,cargo
244023406,73,8,cargo
357573000,229,32,cargo
219148000,102,19,tanker
212519000,85,13,cargo
244670809,110,14,other
244850402,17,4,other
563079000,294,32,other
244333000,150,23,tanker
211652200,12,4,sailing
244030804,13,4,sailing
244660683,135,12,other
636020821,250,44,tanker
220578000,90,23,cargo
219057000,101,19,tanker
244218293,96,12,cargo
244729067,11,4,sailing
244630140,85,8,cargo
211785530,86,10,tanker
538007629,190,32,cargo
219028000,120,20,tanker
244660544,110,12,other
244956000,95,14,cargo
314036000,88,11,cargo
244190100,15,4,other
352002207,96,16,tanker
244585000,40,7,sailing
227376360,12,4,sailing
235060864,229,42,other
205978830,11,4,sailing
215544000,237,44,tanker
244630194,110,10,cargo
319150000,134,21,tanker
636019920,183,32,tanker
636018241,183,32,tanker
244023368,14,4,other
431014000,292,45,cargo
636017725,229,32,cargo
244050055,12,4,sailing
244630134,135,12,cargo
258783000,121,24,other
244129485,12,3,sailing
265513880,10,4,other
244710202,85,9,other
636018862,228,32,tanker
538007516,229,32,cargo
246587000,24,6,other
230357000,139,23,cargo
205217990,135,15,tanker
205393990,110,12,cargo
636092195,185,24,cargo
245162000,55,9,other
255803370,90,14,cargo
209296000,98,14,tanker
244136386,10,4,sailing
210362000,182,32,tanker
311000449,275,48,tanker
636020767,83,13,cargo
244090489,13,4,other
636092976,300,40,cargo
244650802,135,12,cargo
244052412,105,10,cargo
538006130,183,32,tanker
244002479,135,12,cargo
246700000,0,0,other
403579000,183,32,tanker
244670995,67,9,other
244670385,20,10,cargo
244700119,38,7,cargo
244870038,10,4,sailing
229325000,120,19,tanker
371449000,294,32,cargo
477932700,330,60,tanker
205797310,13,4,sailing
244039113,110,12,cargo
211665160,110,11,tanker
244060874,12,4,other
244890992,13,6,other
636016071,228,37,cargo
226011020,65,5,cargo
244650706,135,15,tanker
244210090,11,4,other
205471190,110,12,tanker
538006621,252,44,tanker
211395020,85,10,tanker
244690253,110,12,cargo
538008326,184,27,tanker
244180624,110,12,other
244740836,14,4,sailing
244163821,12.5,3.5,other
246858000,22,9,other
244830774,57,7,cargo
244714000,28,7,sailing
244048968,13,4,other
244070898,183,12,cargo
244620255,9,3,sailing
636019172,144,24,tanker
244690702,10,4,sailing
245047000,36,6,other
244710390,110,11,cargo
40618666,0,0,other
636016361,150,24,tanker
244355000,39,9,other
244615938,14,4,other
244670495,0,0,cargo
211486100,105,10,cargo
305859000,155,23,cargo
265741290,13,4,sailing
244700230,12,4,sailing
636022520,289,45,cargo
244029015,12,4,sailing
244198086,12,4,sailing
205406890,110,12,cargo
304010760,0,0,cargo
244750290,80,8,cargo
211882920,400,59,cargo
244153087,11,4,sailing
244270176,11,4,sailing
244010683,18,5,other
244210133,0,0,sailing
211417950,12,4,sailing
538003379,175,29,cargo
354540000,237,32,cargo
244316271,16,5,other
205539990,186.5,23,cargo
211490180,84,9,other
538003450,250,44,tanker
244790186,110,11,other
244378564,11,4,sailing
244630606,135,18,cargo
636016431,281,32,cargo
244180329,10,3,sailing
205936310,10,4,sailing
244110073,9,4,other
205232090,79,8,tanker
255805987,220,32,cargo
205379530,10,4,sailing
564045000,150,25,tanker
218042000,336,43,cargo
244890405,14,4,sailing
352978139,183,32,tanker
304138000,88,13,cargo
205232270,12,4,sailing
215698000,144,22,tanker
220499000,399,57,cargo
244009619,24,6,other
370528000,183,32,tanker
244780264,66,12,other
205825130,12,4,sailing
311855000,127,20,tanker
244100843,10,3,sailing
205694000,74,16,other
636018113,249,44,tanker
257086850,277,46,tanker
255718000,144,23,tanker
565810000,224,32,cargo
244078715,0,0,sailing
211493510,106,10,tanker
244181853,12,4,sailing
244860614,330,60,tanker
211613180,110,11,other
373530000,159,27,tanker
249981000,250,44,tanker
244660319,136,13,other
308726000,200,32,cargo
257595000,183,33,tanker
636012629,229,32,tanker
244002949,11,4,sailing
244690370,12,4,sailing
245142000,80,13,other
244670846,80,8,cargo
211770910,11,4,other
205463990,110,12,other
636018900,183,32,tanker
219129000,100,17,tanker
244660009,80,8,cargo
246537000,25,6,other
244008909,12,5,other
211668470,86,10,other
244890784,11,4,sailing
244890020,10,3,other
228408700,293,46,tanker
244620113,12,3,sailing
377764000,78,10,cargo
319602000,183,32,tanker
244660791,55,10,other
244025449,9,2,other
244620991,54,7,other
244110293,13,4,other
244020144,110,14,other
211173200,110,10,cargo
232010295,183,32,tanker
635961353,146,24,tanker
636011072,195,32,cargo
248894548,0,0,other
227806500,0,0,sailing
246227000,101,14,cargo
205502790,130,13,tanker
244710358,110,11,cargo
211439370,110,12,tanker
244070833,8,2,other
244690451,270,23,cargo
244670266,110,11,tanker
311000715,180,30,cargo
235093299,113,19,tanker
314606000,88,11,cargo
250002434,136,21,cargo
244710524,30,6,other
244740326,12,4,sailing
210925000,169,27,cargo
244620933,110,14,other
244660812,110,12,other
563130100,250,37,cargo
244660616,86,13,tanker
538005516,180,30,cargo
244870349,74,9,cargo
228104380,10,2,sailing
636012253,275,40,cargo
244710793,11,4,sailing
240929000,292,45,cargo
236180000,82,12,cargo
231108000,75,13,cargo
211227040,15,5,sailing
257992000,145,25,tanker
246141000,100,17,cargo
244747975,110,12,tanker
211513350,86,10,tanker
538006053,184,27,tanker
244041229,76,12,tanker
211015839,10,3,sailing
226008660,109,12,cargo
246869000,89,12,cargo
246899000,100,18,cargo
259319000,123,20,tanker
244391231,25,3,sailing
244010709,12,4,other
244011634,26,8,other
636016911,180,28,cargo
211770320,11,3,sailing
248409000,135,20,tanker
311038700,285,44,tanker
255805617,282,38,cargo
636021051,149,24,tanker
244750449,15,5,other
244690908,85,9,tanker
538008309,333,60,tanker
256247000,105,17,tanker
255805250,118,19,tanker
477157400,400,59,cargo
636021860,78,10,cargo
210093000,229,32,cargo
636019060,333,60,tanker
205508590,110,13,other
244620700,10,3,other
244250503,12,4,sailing
257901000,183,32,tanker
241089000,330,60,tanker
245209000,30,8,other
244690138,39,7,other
538007597,274,48,tanker
244218000,87,12,cargo
319241800,50,8,other
205424990,110,13,cargo
225397000,118,17,cargo
357214000,294,32,cargo
235007880,75,14,tanker
244030447,14,6,other
244620990,53,6,tanker
244670913,110,12,other
244770171,11,4,other
249776000,116,15,tanker
211804660,0,0,sailing
636016074,271,43,cargo
241154000,273,50,tanker
314417000,88,14,cargo
244183007,14,4,other
244030669,12,4,other
244710326,25,6,other
244030592,17,4,other
275529000,90,14,cargo
244620340,0,0,sailing
256541000,120,17,other
271002541,89,14,tanker
244700384,110,12,other
244368000,36,8,other
566960000,328.5,46,cargo
565487000,120,20,tanker
244830182,87,15,tanker
244033441,10,3,sailing
248940000,144,23,tanker
269057316,125,12,tanker
311000255,225,36,tanker
244850817,12,5,other
211536330,86,11,tanker
244010289,11,4,sailing
244650884,110,12,cargo
255805671,180,30,cargo
244030034,10,3,other
244660463,111,11,other
244670275,85,11,cargo
211875290,17,4,other
209946000,184,32,tanker
244700009,80,10,tanker
477157800,400,59,cargo
636015248,183,32,tanker
244850641,42,12,other
226015120,110,12,other
538009891,117,18,tanker
244030252,12,4,sailing
244670989,96,12,cargo
244660896,110,10,tanker
538003906,180,28,cargo
244424000,90,15,cargo
244620843,14,4,sailing
244790649,11,4,sailing
227384000,34,8,other
244070144,13,4,other
311065400,245,42,tanker
244740130,12,4,sailing
244660674,12,4,cargo
211504540,110,9,other
538005391,256,43,tanker
211191040,82,10,other
244000876,135,18,tanker
304559000,74,11,cargo
255801480,140,23,cargo
244670016,70,8,cargo
211515400,110,11,tanker
245413000,133,16,cargo
253242385,125,12,tanker
211712470,105,12,tanker
205251270,9,3,sailing
244650988,135,18,cargo
244100730,12,4,sailing
244020808,98,13,cargo
244118578,135,18,tanker
244123966,10,3,sailing
236329000,99,15,tanker
244650236,18,5,other
220577000,90,23,other
241497000,274,48,tanker
244129647,20,12,other
255806525,152,24,cargo
538010003,250,44,tanker
244670386,110,11,cargo
232008661,89,14,other
636014598,330,60,tanker
244700797,11,4,other
209917000,89,13,cargo
255806374,144,23,tanker
211374430,10,3,other
244061232,16,5,other
232042007,105,17,tanker
244790247,10,4,other
244010650,0,3,sailing
244730581,110,12,cargo
211619520,11,6,sailing
249110003,16,5,other
232033922,11,4,sailing
477520600,190,30,cargo
574004850,141,24,tanker
211416070,13,4,sailing
538009010,184,27,tanker
244383047,14,4,other
244710722,7,3,other
211758870,0,0,sailing
244140807,136,15,cargo
244750435,22,6,other
316040483,74,18,other
244660815,135,21,other
227078790,11,4,sailing
257941000,89,14,tanker
244670511,110,12,tanker
244096303,13,4,sailing
538005871,339,60,tanker
314516000,104,20,other
244710094,85,9,cargo
249596000,100,14,other
244710348,105,10,cargo
236568000,86,12,cargo
269057773,86,12,tanker
244630027,80,9,tanker
636016128,274,48,tanker
636019968,229,32,cargo
244786000,38,9,other
245568000,132,16,cargo
271002601,122,16,tanker
244790547,9,3,other
244780502,57,7,cargo
352898809,291,45,cargo
256929000,148,21,tanker
244740786,110,12,tanker
211584170,95,12,tanker
244700953,92,14,other
244034000,18,6,other
211611440,80,9,cargo
229630000,142,20,cargo
566725000,100,18,tanker
352001337,122,20,tanker
244820092,135,12,cargo
205460790,80,9,cargo
477257900,179,30,cargo
244650860,110,13,cargo
244189997,135,12,tanker
219026971,12,4,other
258047000,147,24,tanker
244660904,110,12,cargo
244820930,0,0,other
244750164,17,6,other
309998000,290,48,tanker
577165000,112,18,cargo
205551390,135,19,tanker
636021772,250,44,tanker
244670001,68,8,cargo
538005401,184,27,tanker
211774100,10,3,sailing
209982000,80,11,cargo
236125000,82,12,cargo
477302900,400,59,cargo
255806144,46,13,other
235112981,99,16,tanker
636093054,221,30,cargo
244710708,21,6,other
310384000,294,38,other
244740590,55,7,cargo
224961000,120,15,cargo
259008620,10,3,sailing
244660203,110,23,cargo
244236669,12,4,sailing
230917000,163,26,cargo
244650638,157.5,18,cargo
314630000,90,15,cargo
244770751,19,6,other
244005687,11,4,other
276002150,30,9,other
244001849,10,4,other
314631000,88,13,cargo
219227000,183,32,tanker
636020314,140,17,cargo
244615612,14,4,sailing
311104000,172,25,cargo
352001328,183,32,tanker
371057000,241,32,cargo
244050366,80,9,cargo
211107580,10,3,sailing
314189000,89,14,cargo
244001952,12,4,other
244061183,11,3,other
247274700,144,23,tanker
215552000,123,17,tanker
244670148,10,3,sailing
244860892,23,7,other
245046000,123,14,cargo
244170779,135,15,tanker
219672000,160,27,tanker
354839000,336,46,cargo
211645700,110,12,tanker
356752000,199,32,cargo
205263790,109,12,cargo
